min_cluster_size,min_samples,cluster_selection_method,metric,algorithm,alpha,silhouette,davies_bouldin,calinski_harabasz,validity_index,coverage,total_clusters,cluster_sizes
50,5,eom,euclidean,best,0.5,0.10949325,1.321339659944598,20961.03745817129,0.10410499171571275,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,5,eom,euclidean,best,2.0,0.10949325,1.321339659944598,20961.03745817129,0.10410499171571275,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,5,eom,manhattan,best,0.5,-0.16698249,1.5111891602003782,10811.802131267888,0.11146670874320748,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,5,eom,manhattan,best,2.0,-0.16698249,1.5111891602003782,10811.802131267888,0.11146670874320748,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,10,eom,euclidean,best,0.5,0.14058411,1.1024296290935718,23054.16607658077,0.09961685403692992,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,10,eom,euclidean,best,2.0,0.14058411,1.1024296290935718,23054.16607658077,0.09961685403692992,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,10,eom,manhattan,best,0.5,0.14012112,1.1349213617389617,22978.538871746638,0.7639482219016425,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,10,eom,manhattan,best,2.0,0.14012112,1.1349213617389617,22978.538871746638,0.7639482219016425,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,20,eom,euclidean,best,0.5,0.102081455,1.369671639071477,19429.45124931375,0.09197734480915408,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,20,eom,euclidean,best,2.0,0.102081455,1.369671639071477,19429.45124931375,0.09197734480915408,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,20,eom,manhattan,best,0.5,0.102890536,1.3877025717676388,19408.967370113776,0.06643517391955635,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,20,eom,manhattan,best,2.0,0.102890536,1.3877025717676388,19408.967370113776,0.06643517391955635,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,1,eom,euclidean,best,0.5,0.1777273,1.5523683730612545,32151.858178965984,0.2693151351775138,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,1,eom,euclidean,best,2.0,0.1777273,1.5523683730612545,32151.858178965984,0.2693151351775138,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,1,eom,manhattan,best,0.5,-0.037103213,2.4187617921800104,7977.424009699183,0.044775535163140416,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,1,eom,manhattan,best,2.0,-0.037103213,2.4187617921800104,7977.424009699183,0.044775535163140416,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,2,eom,euclidean,best,0.5,0.17742507,1.551721165878647,32144.84379141916,0.26939706517071277,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,2,eom,euclidean,best,2.0,0.17742507,1.551721165878647,32144.84379141916,0.26939706517071277,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,2,eom,manhattan,best,0.5,-0.04024762,2.2828078437682753,7869.779136008629,0.08117829973806201,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,2,eom,manhattan,best,2.0,-0.04024762,2.2828078437682753,7869.779136008629,0.08117829973806201,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,5,eom,euclidean,best,0.5,0.20667832,1.6721394985420726,31922.150798701223,0.379521438099744,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
